target,seed,index,tm_stochastic,tm_pfode,delta_tm
30JR,20251126,62,0.33608666268337534,0.33775641107712123,0.0016697483937458957
30JR,20251126,63,0.3497753383795267,0.33840819744203676,-0.011367140937489917
30JR,20251126,64,0.3391073671816248,0.37164522363880864,0.03253785645718382
30JR,20251126,65,0.3672657821260412,0.31191068634281544,-0.05535509578322578
30JR,20251126,66,0.39221294354887437,0.3376707619494611,-0.054542181599413264
30JR,20251126,67,0.3463779637575985,0.3935425296974347,0.0471645659398362
30JR,20251126,68,0.330384170076271,0.3084184356067898,-0.021965734469481246
30JR,20251126,69,0.3301600913813752,0.3412459572391392,0.011085865857763999
30JR,20251126,70,0.3652474514522925,0.2994469235530048,-0.0658005278992877
30JR,20251126,71,0.3666835032348695,0.31842594764975135,-0.04825755558511813
30JR,20251126,72,0.39783921750808016,0.3463268952762655,-0.05151232223181468
30JR,20251126,73,0.41856712468749646,0.3790218102282979,-0.039545314459198566
30JR,20251126,74,0.32370659898989673,0.3486935827016556,0.024986983711758892
30JR,20251126,75,0.3987149387746989,0.3663075760904629,-0.032407362684235996
30JR,20251126,76,0.3210572919857145,0.3390776205204548,0.018020328534740337
30JR,20251126,77,0.3821697061679343,0.37354516754863887,-0.008624538619295408
30JR,20251126,78,0.30090692389722756,0.31217950690039514,0.01127258300316758
30JR,20251126,79,0.35075371390662813,0.36274610998728224,0.01199239608065411
30JR,20251126,80,0.31931868691667903,0.34340948731917076,0.02409080040249173
30JR,20251126,81,0.34894640294411383,0.3395731345559362,-0.009373268388177647
30JR,20251126,82,0.3202637809431736,0.32219064647705165,0.0019268655338780527
30JR,20251126,83,0.36606629226274723,0.379796022382858,0.01372973012011075
30JR,20251126,84,0.36627177206993805,0.34005605151887724,-0.026215720551060806
30JR,20251126,85,0.31898313554842395,0.3703487105052442,0.05136557495682026
30JR,20251126,86,0.30981696608533266,0.3465666352494849,0.03674966916415223
30JR,20251126,87,0.3475741658090989,0.3636198602014883,0.016045694392389398
30JR,20251126,88,0.3144693645218525,0.3492967172385788,0.03482735271672632
30JR,20251126,89,0.3714004208811088,0.33157422079649,-0.03982620008461879
30JR,20251126,90,0.3929455370979473,0.32346126998172553,-0.06948426711622174
30JR,20251126,91,0.36026012016248865,0.454216728197894,0.09395660803540534
30JR,20251126,92,0.42779211202442013,0.3251004564200794,-0.10269165560434074
30JR,20251126,93,0.3341554654679692,0.33371849354840366,-0.00043697191956554304
30JR,20251126,94,0.3487446296400419,0.3883832703607064,0.03963864072066453
30JR,20251126,95,0.4342586305458048,0.31805597193163043,-0.11620265861417439
30JR,20251126,96,0.35982034935165425,0.3696816091335549,0.009861259781900666
30JR,20251126,97,0.42228363384078094,0.310644308795591,-0.11163932504518992
30JR,20251126,98,0.33433600926648704,0.31306499128367576,-0.02127101798281128
30JR,20251126,99,0.31454220497536867,0.3857689381068328,0.07122673313146416
